Stratifying data
Stratifying data
Window size: (7, 7)
26 Accuracy:  65.9847573204974  predictions:  {0: 1367, 1: 895, 2: 231}
27 Accuracy:  66.38588046530285  predictions:  {0: 1249, 1: 1017, 2: 227}
28 Accuracy:  65.54352186121139  predictions:  {0: 1320, 1: 993, 2: 180}
29 Accuracy:  65.34296028880865  predictions:  {0: 1340, 1: 994, 2: 159}
30 Accuracy:  65.74408343361412  predictions:  {0: 1382, 1: 905, 2: 206}
31 Accuracy:  65.9847573204974  predictions:  {0: 1357, 1: 976, 2: 160}
32 Accuracy:  65.78419574809466  predictions:  {0: 1369, 1: 912, 2: 212}
33 Accuracy:  66.34576815082231  predictions:  {0: 1405, 1: 904, 2: 184}
34 Accuracy:  65.14239871640594  predictions:  {0: 1472, 1: 912, 2: 109}
35 Accuracy:  64.90172482952266  predictions:  {0: 1473, 1: 844, 2: 176}
36 Accuracy:  65.86442037705575  predictions:  {0: 1368, 1: 922, 2: 203}
37 Accuracy:  65.26273565984756  predictions:  {0: 1387, 1: 897, 2: 209}
38 Accuracy:  65.66385880465303  predictions:  {0: 1400, 1: 947, 2: 146}
39 Accuracy:  65.42318491776975  predictions:  {0: 1239, 1: 1070, 2: 184}
40 Accuracy:  65.74408343361412  predictions:  {0: 1289, 1: 1045, 2: 159}
41 Accuracy:  66.46610509426394  predictions:  {0: 1265, 1: 1002, 2: 226}
42 Accuracy:  65.58363417569194  predictions:  {0: 1323, 1: 1015, 2: 155}
43 Accuracy:  66.14520657841958  predictions:  {0: 1423, 1: 925, 2: 145}
44 Accuracy:  65.34296028880865  predictions:  {0: 1441, 1: 900, 2: 152}
45 Accuracy:  66.30565583634176  predictions:  {0: 1259, 1: 1026, 2: 208}
46 Accuracy:  66.62655435218612  predictions:  {0: 1297, 1: 1021, 2: 175}
47 Accuracy:  65.42318491776975  predictions:  {0: 1382, 1: 1019, 2: 92}
48 Accuracy:  66.02486963497793  predictions:  {0: 1314, 1: 1000, 2: 179}
49 Accuracy:  65.50340954673085  predictions:  {0: 1207, 1: 1071, 2: 215}
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  61.81165203511573  predictions:  {0: 1527, 1: 961, 2: 18}
1 Accuracy:  62.769353551476456  predictions:  {0: 1510, 1: 970, 2: 26}
2 Accuracy:  62.849162011173185  predictions:  {0: 1357, 1: 1108, 2: 41}
3 Accuracy:  63.96648044692738  predictions:  {0: 1480, 1: 928, 2: 98}
4 Accuracy:  64.12609736632083  predictions:  {0: 1453, 1: 983, 2: 70}
5 Accuracy:  64.52513966480447  predictions:  {0: 1318, 1: 1023, 2: 165}
6 Accuracy:  65.12370311252992  predictions:  {0: 1443, 1: 940, 2: 123}
7 Accuracy:  64.60494812450119  predictions:  {0: 1485, 1: 900, 2: 121}
8 Accuracy:  64.88427773343975  predictions:  {0: 1515, 1: 892, 2: 99}
9 Accuracy:  65.40303272146848  predictions:  {0: 1406, 1: 981, 2: 119}
10 Accuracy:  64.80446927374301  predictions:  {0: 1449, 1: 941, 2: 116}
11 Accuracy:  65.48284118116521  predictions:  {0: 1438, 1: 930, 2: 138}
12 Accuracy:  65.0438946528332  predictions:  {0: 1436, 1: 890, 2: 180}
13 Accuracy:  65.32322426177176  predictions:  {0: 1439, 1: 932, 2: 135}
14 Accuracy:  65.00399042298484  predictions:  {0: 1515, 1: 896, 2: 95}
15 Accuracy:  65.92178770949721  predictions:  {0: 1392, 1: 944, 2: 170}
16 Accuracy:  64.56504389465283  predictions:  {0: 1400, 1: 913, 2: 193}
17 Accuracy:  63.96648044692738  predictions:  {0: 1511, 1: 840, 2: 155}
18 Accuracy:  65.24341580207502  predictions:  {0: 1369, 1: 958, 2: 179}
19 Accuracy:  65.40303272146848  predictions:  {0: 1382, 1: 887, 2: 237}
20 Accuracy:  64.32561851556265  predictions:  {0: 1428, 1: 905, 2: 173}
21 Accuracy:  64.68475658419793  predictions:  {0: 1440, 1: 883, 2: 183}
22 Accuracy:  64.96408619313647  predictions:  {0: 1382, 1: 916, 2: 208}
23 Accuracy:  65.24341580207502  predictions:  {0: 1363, 1: 913, 2: 230}
24 Accuracy:  65.48284118116521  predictions:  {0: 1366, 1: 933, 2: 207}
25 Accuracy:  64.88427773343975  predictions:  {0: 1357, 1: 972, 2: 177}
26 Accuracy:  64.56504389465283  predictions:  {0: 1377, 1: 882, 2: 247}
27 Accuracy:  64.60494812450119  predictions:  {0: 1445, 1: 891, 2: 170}
28 Accuracy:  65.08379888268156  predictions:  {0: 1370, 1: 934, 2: 202}
29 Accuracy:  65.6025538707103  predictions:  {0: 1327, 1: 974, 2: 205}
30 Accuracy:  65.1636073423783  predictions:  {0: 1378, 1: 904, 2: 224}
31 Accuracy:  66.08140462889067  predictions:  {0: 1427, 1: 924, 2: 155}
32 Accuracy:  65.68236233040702  predictions:  {0: 1375, 1: 934, 2: 197}
33 Accuracy:  65.52274541101357  predictions:  {0: 1369, 1: 877, 2: 260}
34 Accuracy:  65.40303272146848  predictions:  {0: 1358, 1: 897, 2: 251}
35 Accuracy:  66.3607342378292  predictions:  {0: 1217, 1: 1060, 2: 229}
36 Accuracy:  65.40303272146848  predictions:  {0: 1285, 1: 995, 2: 226}
37 Accuracy:  66.32083000798085  predictions:  {0: 1289, 1: 1009, 2: 208}
38 Accuracy:  64.96408619313647  predictions:  {0: 1160, 1: 1017, 2: 329}
39 Accuracy:  65.56264964086193  predictions:  {0: 1438, 1: 854, 2: 214}
40 Accuracy:  64.84437350359138  predictions:  {0: 1336, 1: 915, 2: 255}
41 Accuracy:  65.48284118116521  predictions:  {0: 1421, 1: 897, 2: 188}
42 Accuracy:  65.12370311252992  predictions:  {0: 1438, 1: 892, 2: 176}
43 Accuracy:  65.1636073423783  predictions:  {0: 1398, 1: 933, 2: 175}
44 Accuracy:  65.56264964086193  predictions:  {0: 1401, 1: 904, 2: 201}
45 Accuracy:  65.84197924980047  predictions:  {0: 1365, 1: 924, 2: 217}
46 Accuracy:  65.48284118116521  predictions:  {0: 1339, 1: 978, 2: 189}
47 Accuracy:  65.0438946528332  predictions:  {0: 1356, 1: 932, 2: 218}
48 Accuracy:  65.72226656025538  predictions:  {0: 1331, 1: 958, 2: 217}
49 Accuracy:  65.40303272146848  predictions:  {0: 1419, 1: 943, 2: 144}
Stratifying data
Stratifying data
