Stratifying data
Window size: (7, 7)
10 Accuracy:  69.73394678935787  predictions:  {0: 2597, 1: 2153, 2: 249}
11 Accuracy:  69.95399079815962  predictions:  {0: 2653, 1: 2045, 2: 301}
12 Accuracy:  69.31386277255451  predictions:  {0: 2716, 1: 2045, 2: 238}
13 Accuracy:  69.17383476695339  predictions:  {0: 2648, 1: 2066, 2: 285}
14 Accuracy:  70.29405881176235  predictions:  {0: 2679, 1: 1997, 2: 323}
15 Accuracy:  69.57391478295659  predictions:  {0: 2785, 1: 1948, 2: 266}
16 Accuracy:  69.71394278855772  predictions:  {0: 2720, 1: 2015, 2: 264}
17 Accuracy:  69.17383476695339  predictions:  {0: 2640, 1: 2094, 2: 265}
18 Accuracy:  70.23404680936187  predictions:  {0: 2731, 1: 1980, 2: 288}
19 Accuracy:  70.21404280856171  predictions:  {0: 2768, 1: 1946, 2: 285}
20 Accuracy:  70.23404680936187  predictions:  {0: 2819, 1: 1879, 2: 301}
21 Accuracy:  70.25405081016203  predictions:  {0: 2751, 1: 1973, 2: 275}
22 Accuracy:  70.07401480296059  predictions:  {0: 2816, 1: 1947, 2: 236}
23 Accuracy:  69.67393478695739  predictions:  {0: 2682, 1: 2050, 2: 267}
24 Accuracy:  68.87377475495099  predictions:  {0: 2645, 1: 2125, 2: 229}
25 Accuracy:  69.37387477495498  predictions:  {0: 2644, 1: 2074, 2: 281}
26 Accuracy:  68.73374674934986  predictions:  {0: 2689, 1: 2089, 2: 221}
27 Accuracy:  69.4738947789558  predictions:  {0: 2800, 1: 1951, 2: 248}
28 Accuracy:  68.83376675335067  predictions:  {0: 2872, 1: 1952, 2: 175}
29 Accuracy:  70.45409081816362  predictions:  {0: 2727, 1: 1946, 2: 326}
30 Accuracy:  70.21404280856171  predictions:  {0: 2757, 1: 1964, 2: 278}
31 Accuracy:  70.39407881576315  predictions:  {0: 2700, 1: 1985, 2: 314}
32 Accuracy:  69.09381876375275  predictions:  {0: 2605, 1: 2089, 2: 305}
33 Accuracy:  69.55391078215644  predictions:  {0: 2745, 1: 1971, 2: 283}
34 Accuracy:  70.29405881176235  predictions:  {0: 2607, 1: 2041, 2: 351}
35 Accuracy:  69.13382676535306  predictions:  {0: 2765, 1: 2019, 2: 215}
36 Accuracy:  69.69393878775755  predictions:  {0: 2724, 1: 1977, 2: 298}
37 Accuracy:  69.33386677335467  predictions:  {0: 2566, 1: 2099, 2: 334}
38 Accuracy:  68.41368273654732  predictions:  {0: 2692, 1: 2095, 2: 212}
39 Accuracy:  69.31386277255451  predictions:  {0: 2700, 1: 2030, 2: 269}
40 Accuracy:  68.85377075415083  predictions:  {0: 2502, 1: 2116, 2: 381}
41 Accuracy:  68.7137427485497  predictions:  {0: 2747, 1: 1949, 2: 303}
42 Accuracy:  67.83356671334266  predictions:  {0: 2496, 1: 2201, 2: 302}
43 Accuracy:  67.61352270454091  predictions:  {0: 2407, 1: 2370, 2: 222}
44 Accuracy:  65.99319863972795  predictions:  {0: 2203, 1: 2576, 2: 220}
45 Accuracy:  68.37367473494699  predictions:  {0: 2566, 1: 2134, 2: 299}
46 Accuracy:  69.15383076615323  predictions:  {0: 2687, 1: 2002, 2: 310}
47 Accuracy:  69.65393078615723  predictions:  {0: 2456, 1: 2154, 2: 389}
48 Accuracy:  68.49369873974796  predictions:  {0: 2674, 1: 2115, 2: 210}
49 Accuracy:  67.67353470694138  predictions:  {0: 2586, 1: 2208, 2: 205}
Stratifying data
Window size: (7, 7)
Training: Clauses=4000, T=8000, S=10
0 Accuracy:  67.73354670934187  predictions:  {0: 2840, 1: 1916, 2: 243}
1 Accuracy:  69.17383476695339  predictions:  {0: 2770, 1: 1996, 2: 233}
2 Accuracy:  69.65393078615723  predictions:  {0: 2707, 1: 2053, 2: 239}
3 Accuracy:  69.59391878375675  predictions:  {0: 2763, 1: 1993, 2: 243}
4 Accuracy:  69.61392278455692  predictions:  {0: 2823, 1: 1937, 2: 239}
5 Accuracy:  69.65393078615723  predictions:  {0: 2736, 1: 2018, 2: 245}
6 Accuracy:  69.43388677735547  predictions:  {0: 2658, 1: 2104, 2: 237}
7 Accuracy:  69.73394678935787  predictions:  {0: 2740, 1: 2030, 2: 229}
8 Accuracy:  70.57411482296459  predictions:  {0: 2741, 1: 1989, 2: 269}
9 Accuracy:  69.99399879975995  predictions:  {0: 2941, 1: 1836, 2: 222}
10 Accuracy:  70.7741548309662  predictions:  {0: 2753, 1: 1971, 2: 275}
11 Accuracy:  70.57411482296459  predictions:  {0: 2600, 1: 2067, 2: 332}
12 Accuracy:  70.81416283256652  predictions:  {0: 2684, 1: 1992, 2: 323}
13 Accuracy:  70.15403080616123  predictions:  {0: 2683, 1: 2037, 2: 279}
14 Accuracy:  70.53410682136428  predictions:  {0: 2719, 1: 1967, 2: 313}
15 Accuracy:  70.35407081416282  predictions:  {0: 2652, 1: 2038, 2: 309}
16 Accuracy:  70.19403880776154  predictions:  {0: 2748, 1: 1989, 2: 262}
17 Accuracy:  70.31406281256251  predictions:  {0: 2725, 1: 1999, 2: 275}
18 Accuracy:  70.21404280856171  predictions:  {0: 2539, 1: 2108, 2: 352}
19 Accuracy:  70.45409081816362  predictions:  {0: 2671, 1: 2037, 2: 291}
20 Accuracy:  70.33406681336267  predictions:  {0: 2677, 1: 2038, 2: 284}
21 Accuracy:  70.73414682936587  predictions:  {0: 2645, 1: 1992, 2: 362}
22 Accuracy:  70.7741548309662  predictions:  {0: 2698, 1: 2034, 2: 267}
23 Accuracy:  70.91418283656732  predictions:  {0: 2692, 1: 2032, 2: 275}
24 Accuracy:  71.03420684136827  predictions:  {0: 2727, 1: 1964, 2: 308}
25 Accuracy:  70.11402280456092  predictions:  {0: 2662, 1: 2150, 2: 187}
26 Accuracy:  70.17403480696139  predictions:  {0: 2639, 1: 2034, 2: 326}
27 Accuracy:  70.2740548109622  predictions:  {0: 2751, 1: 1976, 2: 272}
28 Accuracy:  70.07401480296059  predictions:  {0: 2752, 1: 1926, 2: 321}
29 Accuracy:  69.61392278455692  predictions:  {0: 2763, 1: 2009, 2: 227}
30 Accuracy:  69.67393478695739  predictions:  {0: 2777, 1: 2021, 2: 201}
31 Accuracy:  69.55391078215644  predictions:  {0: 2818, 1: 1932, 2: 249}
32 Accuracy:  70.11402280456092  predictions:  {0: 2786, 1: 1894, 2: 319}
